date,open,high,low,close,adj_close,volume
2014-08-14,51.998798,52.057999,51.362400,51.392399,50.323421,17845000
2014-08-15,51.744801,51.744801,50.660801,50.804798,49.748051,33395000
2014-08-18,50.982800,51.530800,50.940800,51.047199,49.985409,15060000
2014-08-19,51.250401,51.250401,50.726799,50.871201,49.813065,10557500
2014-08-20,50.976002,51.040001,50.719200,50.934799,49.875340,8972500
2014-08-21,50.934799,51.014000,50.570400,50.602001,49.549465,10062500
2014-08-22,50.739601,51.117199,50.415199,51.099998,50.037102,15027500
2014-08-25,51.472401,51.758801,51.034000,51.080399,50.017910,14265000
2014-08-26,51.217602,51.466400,50.810799,51.100800,50.037891,10245000
2014-08-27,51.089600,51.273602,50.383598,50.430801,49.381821,14195000
2014-08-28,50.220402,50.404400,49.948002,50.028400,48.987797,12000000
2014-08-29,50.209599,50.234001,49.664799,49.772400,48.737122,13317500
2014-09-02,49.908001,50.310398,49.762001,50.195999,49.151909,17042500
2014-09-03,50.518002,50.518002,49.306400,49.375999,48.348965,19482500
2014-09-04,49.695202,49.756001,48.639999,48.830399,47.814716,24177500
2014-09-05,48.400002,48.456001,47.294399,47.800800,46.806526,42632500
2014-09-08,47.613201,48.062000,47.149200,47.954399,46.956932,24162500
2014-09-09,47.943600,48.000000,46.948002,47.083199,46.103859,21762500
2014-09-10,47.079601,47.575600,46.944401,47.545601,46.556641,17135000
2014-09-11,47.344799,47.471600,46.806000,47.074001,46.094849,15480000
2014-09-12,47.020802,47.115601,46.470001,46.557598,45.589191,19797500
2014-09-15,46.446400,46.459999,45.570801,46.143600,45.183804,20725000
2014-09-16,45.995602,47.182400,45.972401,46.916801,45.940926,20250000
2014-09-17,46.967602,47.390400,46.512798,46.952000,45.975384,16112500
2014-09-18,47.175999,47.939602,47.028400,47.888000,46.891914,21795000
2014-09-19,48.200001,48.220001,47.419998,47.444801,46.457939,21025000
2014-09-22,47.253201,47.253201,46.166000,46.631599,45.661648,16980000
2014-09-23,46.535999,47.099998,46.411999,46.653999,45.683590,16292500
2014-09-24,46.789600,47.354801,46.285999,47.280800,46.297340,14117500
2014-09-25,47.257198,47.302399,46.373199,46.561199,45.592712,18817500
2014-09-26,46.666801,47.016800,46.440399,46.977600,46.000450,17225000
2014-09-29,46.500801,46.576000,45.690399,46.442001,45.475994,21530000
2014-09-30,46.580002,46.764000,46.091202,46.343201,45.379250,16537500
2014-10-01,46.171600,46.189999,45.252399,45.506401,44.559860,23970000
2014-10-02,45.599998,45.865200,44.762001,45.596401,44.647991,19945000
2014-10-03,45.799999,46.102001,45.599998,45.658401,44.708698,15422500
2014-10-06,45.639999,45.653599,44.656399,44.792801,43.861099,24110000
2014-10-07,44.579201,45.199600,44.258400,44.366001,43.443176,24435000
2014-10-08,44.420399,45.114399,43.928398,45.076801,44.139191,26152500
2014-10-09,44.807201,44.904800,43.960400,44.087601,43.170563,26712500
